title,danceability,energy,loudness,speechiness,acousticness,liveness,valence
"Piano Sonata No.11 In A, K.331 -""Alla Turca"" : 3. Alla Turca (Allegretto)",0.546,0.186,-16.526,0.0504,0.992,0.105,0.565
Love Galore (feat. Travis Scott),0.795,0.594,-6.2,0.0747,0.111,0.162,0.409
5% TINT,0.712,0.481,-5.415,0.0487,0.173,0.241,0.062
WAKE UP,0.741,0.645,-5.116,0.0963,0.192,0.163,0.488
SKELETONS,0.46,0.686,-5.948,0.0367,0.00146,0.375,0.252
SICKO MODE,0.834,0.73,-3.714,0.222,0.00513,0.124,0.446
CAROUSEL,0.428,0.403,-5.914,0.209,0.229,0.22,0.133
STARGAZING,0.487,0.789,-3.69,0.044,0.00947,0.189,0.0564
STARGAZING,0.487,0.789,-3.69,0.044,0.00947,0.189,0.0564
STARGAZING,0.487,0.789,-3.69,0.044,0.00947,0.189,0.0564
All I Want - Manila Killa Remix,0.699,0.857,-6.747,0.0633,0.259,0.0711,0.16
All That's Left,0.732,0.696,-5.242,0.0285,0.309,0.188,0.281
Dans le noir,0.611,0.719,-7.048,0.0263,0.00057,0.263,0.73
Les héros de Barbès,0.654,0.788,-7.673,0.0313,0.00151,0.196,0.84
Dans le noir,0.611,0.719,-7.048,0.0263,0.00057,0.263,0.73
Canopée,0.704,0.692,-6.558,0.0304,0.0942,0.0922,0.369
Passagers,0.504,0.513,-8.57,0.0353,0.303,0.0822,0.136
Je fais le mort,0.67,0.673,-5.62,0.026,0.0153,0.104,0.557
EARFQUAKE,0.554,0.498,-8.866,0.0685,0.23,0.795,0.413
Glock 19,0.895,0.759,-4.97,0.311,0.106,0.321,0.38
I'm Sorry,0.84,0.525,-5.67,0.0454,0.426,0.102,0.189
Pikachu,0.701,0.464,-8.952,0.101,0.773,0.119,0.359
Violence,0.605,0.654,-7.44,0.261,0.321,0.0955,0.183
First Class,0.805,0.525,-7.981,0.114,0.33,0.0916,0.253
You Lose,0.718,0.577,-9.402,0.0859,0.522,0.0986,0.216
Gatorade,0.629,0.882,-6.061,0.113,0.188,0.573,0.354
Diamonds,0.665,0.532,-8.635,0.0339,0.0172,0.205,0.103
Divine Madness,0.619,0.398,-10.968,0.0576,0.413,0.1,0.193
Smirnoff Ice,0.604,0.809,-4.758,0.115,0.105,0.091,0.0993
trashy,0.635,0.348,-12.773,0.132,0.745,0.101,0.24
